date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:34:17	91/91	---M--	200	added ('OK')	text/plain	date:Wed,%2017%20Apr%202024%2022:37:39%20GMT	https://www.dejan.works/robots.txt		(from )
03:34:17	7627/7627	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2013:14:27%20GMT	https://www.dejan.works/	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/index.html	(from )
03:34:20	160727/160727	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://dejan.works/img/dejanmarkovic.png	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/dejan.works/img/dejanmarkovic.png	(from https://www.dejan.works/)
03:34:21	986/986	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/img/icon/apple-icon-57x57.png	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/img/icon/apple-icon-57x57.png	(from https://www.dejan.works/)
03:34:24	1013/1013	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/img/icon/apple-icon-60x60.png	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/img/icon/apple-icon-60x60.png	(from https://www.dejan.works/)
03:34:26	1065/1065	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/img/icon/apple-icon-72x72.png	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/img/icon/apple-icon-72x72.png	(from https://www.dejan.works/)
03:34:28	1096/1096	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/img/icon/apple-icon-76x76.png	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/img/icon/apple-icon-76x76.png	(from https://www.dejan.works/)
03:34:31	1367/1367	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/img/icon/apple-icon-114x114.png	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/img/icon/apple-icon-114x114.png	(from https://www.dejan.works/)
03:34:33	1396/1396	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/img/icon/apple-icon-120x120.png	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/img/icon/apple-icon-120x120.png	(from https://www.dejan.works/)
03:34:35	1606/1606	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/img/icon/apple-icon-144x144.png	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/img/icon/apple-icon-144x144.png	(from https://www.dejan.works/)
03:34:38	1631/1631	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/img/icon/apple-icon-152x152.png	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/img/icon/apple-icon-152x152.png	(from https://www.dejan.works/)
03:34:41	1915/1915	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/img/icon/apple-icon-180x180.png	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/img/icon/apple-icon-180x180.png	(from https://www.dejan.works/)
03:34:43	1326/1326	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/img/icon/android-icon-192x192.png	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/img/icon/android-icon-192x192.png	(from https://www.dejan.works/)
03:34:49	833/833	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/img/icon/favicon-32x32.png	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/img/icon/favicon-32x32.png	(from https://www.dejan.works/)
03:34:51	1252/1252	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/img/icon/favicon-96x96.png	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/img/icon/favicon-96x96.png	(from https://www.dejan.works/)
03:34:53	723/723	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/img/icon/favicon-16x16.png	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/img/icon/favicon-16x16.png	(from https://www.dejan.works/)
03:34:55	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Apr%202024%2022:34:56%20GMT	https://www.dejan.works/img/manifest.json	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/img/manifest.e.delayed	(from https://www.dejan.works/)
03:34:57	13451/13451	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20Apr%202024%2013:17:08%20GMT	https://www.dejan.works/css/style.css	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/css/style.css	(from https://www.dejan.works/)
03:34:59	168/168	---M--	200	added ('OK')	text/plain	date:Wed,%2017%20Apr%202024%2022:37:33%20GMT	https://www.dejan.works/humans.txt	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/humans.txt	(from https://www.dejan.works/)
03:35:02	9186/9186	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2013:14:13%20GMT	https://www.dejan.works/about/	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/about/index.html	(from https://www.dejan.works/)
03:35:02	8810/8810	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2013:14:15%20GMT	https://www.dejan.works/work/days/	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/days/index.html	(from https://www.dejan.works/)
03:35:04	7850/7850	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2013:14:19%20GMT	https://www.dejan.works/work/tripscout/	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/tripscout/index.html	(from https://www.dejan.works/)
03:35:05	70988/70988	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/img/tripscout.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/img/tripscout.webp	(from https://www.dejan.works/)
03:35:05	137434/137434	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/img/days.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/img/days.webp	(from https://www.dejan.works/)
03:35:06	8477/8477	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2013:14:15%20GMT	https://www.dejan.works/work/athotel/	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/athotel/index.html	(from https://www.dejan.works/)
03:35:07	107816/107816	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/img/athotel.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/img/athotel.webp	(from https://www.dejan.works/)
03:35:08	12977/12977	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2013:14:17%20GMT	https://www.dejan.works/work/invision/	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/invision/index.html	(from https://www.dejan.works/)
03:35:09	157388/157388	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/img/invision.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/img/invision.webp	(from https://www.dejan.works/)
03:35:11	7515/7515	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2013:14:15%20GMT	https://www.dejan.works/work/archive/	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/archive/index.html	(from https://www.dejan.works/)
03:35:13	102186/102186	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/img/archive.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/img/archive.webp	(from https://www.dejan.works/)
03:35:14	84320/84320	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js	(from https://www.dejan.works/)
03:35:15	10676/10676	---M-Z	200	added ('OK')	application/javascript	etag:%226049431e-29b4%22	https://cdnjs.cloudflare.com/ajax/libs/clipboard.js/2.0.8/clipboard.min.js	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/cdnjs.cloudflare.com/ajax/libs/clipboard.js/2.0.8/clipboard.min.js	(from https://www.dejan.works/)
03:35:18	106024/106024	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2018%20Apr%202024%2013:14:13%20GMT	https://www.dejan.works/fonts/Geist-Light.eot	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/fonts/Geist-Light.eot	(from https://www.dejan.works/css/style.css)
03:35:20	106024/106024	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2018%20Apr%202024%2013:14:13%20GMT	https://www.dejan.works/fonts/Geist-Light.eot?	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/fonts/Geist-Lightd41d.eot	(from https://www.dejan.works/css/style.css)
03:35:22	32416/32416	---M--	200	added ('OK')	font/woff2	date:Thu,%2018%20Apr%202024%2013:14:13%20GMT	https://www.dejan.works/fonts/Geist-Light.woff2	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/fonts/Geist-Light.woff2	(from https://www.dejan.works/css/style.css)
03:35:24	47732/47732	---M--	200	added ('OK')	font/woff	date:Thu,%2018%20Apr%202024%2013:14:13%20GMT	https://www.dejan.works/fonts/Geist-Light.woff	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/fonts/Geist-Light.woff	(from https://www.dejan.works/css/style.css)
03:35:26	105800/105800	---M--	200	added ('OK')	font/ttf	date:Thu,%2018%20Apr%202024%2013:14:13%20GMT	https://www.dejan.works/fonts/Geist-Light.ttf	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/fonts/Geist-Light.ttf	(from https://www.dejan.works/css/style.css)
03:35:29	105892/105892	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/fonts/Geist-Regular.eot	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/fonts/Geist-Regular.eot	(from https://www.dejan.works/css/style.css)
03:35:31	105892/105892	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/fonts/Geist-Regular.eot?	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/fonts/Geist-Regulard41d.eot	(from https://www.dejan.works/css/style.css)
03:35:33	32180/32180	---M--	200	added ('OK')	font/woff2	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/fonts/Geist-Regular.woff2	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/fonts/Geist-Regular.woff2	(from https://www.dejan.works/css/style.css)
03:35:36	47552/47552	---M--	200	added ('OK')	font/woff	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/fonts/Geist-Regular.woff	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/fonts/Geist-Regular.woff	(from https://www.dejan.works/css/style.css)
03:35:39	105676/105676	---M--	200	added ('OK')	font/ttf	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/fonts/Geist-Regular.ttf	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/fonts/Geist-Regular.ttf	(from https://www.dejan.works/css/style.css)
03:35:42	105688/105688	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2018%20Apr%202024%2013:14:13%20GMT	https://www.dejan.works/fonts/Geist-Medium.eot	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/fonts/Geist-Medium.eot	(from https://www.dejan.works/css/style.css)
03:35:45	105688/105688	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2018%20Apr%202024%2013:14:13%20GMT	https://www.dejan.works/fonts/Geist-Medium.eot?	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/fonts/Geist-Mediumd41d.eot	(from https://www.dejan.works/css/style.css)
03:35:46	32784/32784	---M--	200	added ('OK')	font/woff2	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/fonts/Geist-Medium.woff2	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/fonts/Geist-Medium.woff2	(from https://www.dejan.works/css/style.css)
03:35:48	48384/48384	---M--	200	added ('OK')	font/woff	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/fonts/Geist-Medium.woff	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/fonts/Geist-Medium.woff	(from https://www.dejan.works/css/style.css)
03:35:50	105460/105460	---M--	200	added ('OK')	font/ttf	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/fonts/Geist-Medium.ttf	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/fonts/Geist-Medium.ttf	(from https://www.dejan.works/css/style.css)
03:35:53	106588/106588	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/fonts/Geist-SemiBold.eot	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/fonts/Geist-SemiBold.eot	(from https://www.dejan.works/css/style.css)
03:35:57	106588/106588	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/fonts/Geist-SemiBold.eot?	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/fonts/Geist-SemiBoldd41d.eot	(from https://www.dejan.works/css/style.css)
03:35:58	33064/33064	---M--	200	added ('OK')	font/woff2	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/fonts/Geist-SemiBold.woff2	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/fonts/Geist-SemiBold.woff2	(from https://www.dejan.works/css/style.css)
03:36:00	48988/48988	---M--	200	added ('OK')	font/woff	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/fonts/Geist-SemiBold.woff	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/fonts/Geist-SemiBold.woff	(from https://www.dejan.works/css/style.css)
03:36:03	106352/106352	---M--	200	added ('OK')	font/ttf	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/fonts/Geist-SemiBold.ttf	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/fonts/Geist-SemiBold.ttf	(from https://www.dejan.works/css/style.css)
03:36:05	132283/132283	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Apr%202024%2013:14:15%20GMT	https://www.dejan.works/img/iphone12/iphone12.png	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/img/iphone12/iphone12.png	(from https://www.dejan.works/css/style.css)
03:36:06	77340/77340	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/img/iphone6/devices-iphone-6.png	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/img/iphone6/devices-iphone-6.png	(from https://www.dejan.works/css/style.css)
03:36:08	720/720	---M--	200	added ('OK')	application/json	date:Thu,%2018%20Apr%202024%2013:14:14%20GMT	https://www.dejan.works/img/icon/manifest.json	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/img/icon/manifest.json	(from https://www.dejan.works/about/)
03:36:12	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Apr%202024%2022:36:14%20GMT	https://www.dejan.works/work/humans.txt	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/humans.30.delayed	(from https://www.dejan.works/work/days/)
03:36:18	125978/125978	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:17%20GMT	https://www.dejan.works/work/days/img/Days.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/days/img/Days.webp	(from https://www.dejan.works/work/days/)
03:36:19	459250/459250	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:13%20GMT	https://www.dejan.works/about/img/Dejan.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/about/img/Dejan.webp	(from https://www.dejan.works/about/)
03:36:21	397439/397439	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Apr%202024%2013:14:17%20GMT	https://www.dejan.works/work/days/video/Days.png	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/days/video/Days.png	(from https://www.dejan.works/work/days/)
03:36:22	37558/37558	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:16%20GMT	https://www.dejan.works/work/days/img/Days-Review1.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/days/img/Days-Review1.webp	(from https://www.dejan.works/work/days/)
03:36:24	31738/31738	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:16%20GMT	https://www.dejan.works/work/days/img/Days-Review2.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/days/img/Days-Review2.webp	(from https://www.dejan.works/work/days/)
03:36:25	30326/30326	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:16%20GMT	https://www.dejan.works/work/days/img/Days-GreatOniOS.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/days/img/Days-GreatOniOS.webp	(from https://www.dejan.works/work/days/)
